               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.11308,            0.062246,            0.056779,           0.0013066,            0.070055,           0.0015285,          0.00027441,             0.11723,            0.057649,             0.06043,              0.0874,              0.0014,              0.0014
                   1,             0.11415,            0.057669,            0.057172,           0.0023031,            0.075549,            0.002406,           0.0004337,              0.1168,            0.058147,            0.060302,              0.0739,           0.0028997,           0.0028997
                   2,             0.10863,            0.056895,            0.054596,           0.0023031,            0.075549,            0.002406,           0.0004337,              0.1168,            0.058147,            0.060302,            0.060399,           0.0043991,           0.0043991
                   3,             0.10933,            0.058016,            0.054351,             0.01172,               0.188,            0.020137,           0.0062425,             0.11514,            0.059243,            0.059737,            0.046898,           0.0058982,           0.0058982
                   4,             0.10747,            0.057921,            0.053095,             0.01172,               0.188,            0.020137,           0.0062425,             0.11514,            0.059243,            0.059737,            0.033397,           0.0073971,           0.0073971
                   5,             0.10665,            0.053464,            0.054229,             0.01172,               0.188,            0.020137,           0.0062425,             0.11514,            0.059243,            0.059737,            0.019896,           0.0088956,           0.0088956
                   6,             0.11885,             0.05802,            0.062192,             0.01172,               0.188,            0.020137,           0.0062425,             0.11514,            0.059243,            0.059737,           0.0099941,           0.0099941,           0.0099941
                   7,             0.10876,            0.059799,            0.053359,             0.01172,               0.188,            0.020137,           0.0062425,             0.11514,            0.059243,            0.059737,           0.0099941,           0.0099941,           0.0099941
                   8,             0.11312,            0.061452,            0.058073,            0.012753,             0.20568,            0.057183,            0.019288,             0.11274,            0.060108,            0.058824,           0.0099931,           0.0099931,           0.0099931
                   9,              0.1092,            0.058135,            0.056659,            0.012753,             0.20568,            0.057183,            0.019288,             0.11274,            0.060108,            0.058824,           0.0099921,           0.0099921,           0.0099921
                  10,             0.10936,            0.055018,            0.059253,            0.012753,             0.20568,            0.057183,            0.019288,             0.11274,            0.060108,            0.058824,           0.0099911,           0.0099911,           0.0099911
                  11,             0.10671,            0.056607,             0.05467,            0.012753,             0.20568,            0.057183,            0.019288,             0.11274,            0.060108,            0.058824,           0.0099901,           0.0099901,           0.0099901
                  12,             0.10629,            0.056662,             0.05629,            0.014793,             0.28196,             0.16647,            0.048812,             0.10973,            0.060916,            0.057856,           0.0099891,           0.0099891,           0.0099891
                  13,             0.10796,            0.053567,            0.055466,            0.014793,             0.28196,             0.16647,            0.048812,             0.10973,            0.060916,            0.057856,           0.0099881,           0.0099881,           0.0099881
                  14,             0.11639,            0.048861,            0.059438,            0.014793,             0.28196,             0.16647,            0.048812,             0.10973,            0.060916,            0.057856,           0.0099871,           0.0099871,           0.0099871
                  15,             0.10503,             0.05472,            0.052183,            0.014793,             0.28196,             0.16647,            0.048812,             0.10973,            0.060916,            0.057856,           0.0099861,           0.0099861,           0.0099861
                  16,             0.11273,            0.054715,            0.059414,            0.018107,             0.38819,             0.19232,            0.057913,             0.10609,            0.061607,             0.05665,           0.0099851,           0.0099851,           0.0099851
                  17,             0.10205,            0.054218,             0.05354,            0.018107,             0.38819,             0.19232,            0.057913,             0.10609,            0.061607,             0.05665,           0.0099842,           0.0099842,           0.0099842
                  18,             0.10628,             0.05805,            0.057277,            0.018107,             0.38819,             0.19232,            0.057913,             0.10609,            0.061607,             0.05665,           0.0099832,           0.0099832,           0.0099832
                  19,            0.097801,            0.054936,             0.05142,            0.018107,             0.38819,             0.19232,            0.057913,             0.10609,            0.061607,             0.05665,           0.0099822,           0.0099822,           0.0099822
                  20,            0.098424,            0.049932,            0.052274,            0.018107,             0.38819,             0.19232,            0.057913,             0.10609,            0.061607,             0.05665,           0.0099812,           0.0099812,           0.0099812
                  21,             0.10512,            0.056798,            0.055156,            0.017971,             0.48712,             0.22591,            0.061054,             0.10352,            0.061349,            0.055746,           0.0099802,           0.0099802,           0.0099802
                  22,             0.10607,            0.057725,            0.058889,            0.017971,             0.48712,             0.22591,            0.061054,             0.10352,            0.061349,            0.055746,           0.0099792,           0.0099792,           0.0099792
                  23,             0.10359,            0.054092,            0.055945,            0.017971,             0.48712,             0.22591,            0.061054,             0.10352,            0.061349,            0.055746,           0.0099782,           0.0099782,           0.0099782
                  24,             0.10254,            0.052458,            0.053662,            0.017971,             0.48712,             0.22591,            0.061054,             0.10352,            0.061349,            0.055746,           0.0099772,           0.0099772,           0.0099772
                  25,            0.097244,            0.054522,             0.05137,            0.019314,             0.58899,             0.31574,            0.087581,             0.10081,            0.060929,            0.054811,           0.0099762,           0.0099762,           0.0099762
                  26,             0.10346,            0.057891,            0.056941,            0.019314,             0.58899,             0.31574,            0.087581,             0.10081,            0.060929,            0.054811,           0.0099753,           0.0099753,           0.0099753
